user_id,movie_id,movie_title,rating,genres_list
Percy,10191,How to Train Your Dragon,8.0,"[""fantasy"", ""adventure"", ""animation"", ""family""]"
syn_user_01139,1361373,Speed Faster,6.0,"[""action"", ""thriller""]"
Kamurai,85,Raiders of the Lost Ark,7.0,"[""adventure"", ""action""]"
Per Gunnar Jonsson,297802,Aquaman,8.0,"[""action"", ""adventure"", ""fantasy""]"
tmdb28039023,632727,Texas Chainsaw Massacre,1.0,"[""horror"", ""thriller"", ""crime"", ""drama""]"
EvilWithaSmile,662643,Pretty Boy,5.0,"[""horror""]"
jsfernandes1,925930,Honey Don't!,3.0,"[""comedy"", ""crime"", ""mystery"", ""thriller""]"
syn_user_00415,638383,KPop Demon Hunters,5.0,"[""animation"", ""music"", ""fantasy"", ""comedy"", ""musical""]"
Chandler Danier,552524,Lilo & Stitch,8.0,"[""family"", ""science fiction"", ""comedy""]"
r96sk,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",9.0,"[""adventure"", ""family"", ""fantasy""]"
syn_user_01073,1274533,Terror Tales: Poetry & Death Volume 1,6.0,"[""horror"", ""thriller""]"
Wuchak,35626,Return to Sleepaway Camp,4.0,"[""horror"", ""comedy""]"
Gimly,1487,Hellboy,8.0,"[""fantasy"", ""action""]"
hanhonymous,941438,The Wrecking Crew,2.0,"[""action"", ""comedy"", ""crime"", ""mystery""]"
r96sk,196867,Annie,5.0,"[""comedy"", ""drama"", ""family""]"
jarvis-12624906,1252892,Sharon & Ozzy Osbourne: Coming Home,10.0,"[""documentary"", ""music""]"
jarvis-5251579,825219,Saint Clare,3.0,"[""thriller"", ""horror""]"
GodJester,1213506,undertone,4.0,"[""horror"", ""mystery""]"
Gimly,534,Terminator Salvation,6.0,"[""action"", ""science fiction"", ""thriller""]"
4EverFinalGirl,42709,"Silent Night, Deadly Night III: Better Watch Out!",3.0,"[""horror""]"
SKIPADIP,785317,Tin Soldier,8.0,"[""action"", ""thriller""]"
John Chard,76341,Mad Max: Fury Road,9.0,"[""action"", ""adventure"", ""science fiction""]"
syn_user_00656,432889,Not Without Hope,5.0,"[""drama"", ""thriller""]"
jessol,1317050,Murder in Monaco,7.0,"[""documentary"", ""crime""]"
tmdb93836550,36557,Casino Royale,10.0,"[""adventure"", ""action"", ""thriller""]"
Mindless_City23,965839,Black Phone 2,4.0,"[""horror"", ""thriller""]"
great_vc,1072420,Ricky Gervais: Mortality,6.0,"[""comedy""]"
Jasmohan,897961,Iron Lung,8.0,"[""horror"", ""science fiction"", ""mystery""]"
MovieGuys,653346,Kingdom of the Planet of the Apes,6.0,"[""science fiction"", ""adventure"", ""action""]"
Andres Gomez,177677,Mission: Impossible - Rogue Nation,7.0,"[""action"", ""adventure""]"
psyllogism,848797,One Battle After Another,9.0,"[""thriller"", ""crime"", ""comedy""]"
Alunauwie,337401,Mulan,7.0,"[""adventure"", ""fantasy"", ""action""]"
iamyenz,68718,Django Unchained,9.0,"[""drama"", ""western""]"
Luis_989,331482,Little Women,6.0,"[""drama"", ""romance"", ""history""]"
daniel_carr,745,The Sixth Sense,8.0,"[""mystery"", ""thriller"", ""drama""]"
Manuel São Bento,911430,F1,8.0,"[""action"", ""drama""]"
zxki,755536,Play Dirty,6.0,"[""crime"", ""action"", ""thriller""]"
chewy74,1276320,Match,4.0,"[""horror""]"
CinemaSerf,840705,Blink Twice,6.0,"[""mystery"", ""thriller""]"
Wuchak,299534,Avengers: Endgame,6.0,"[""adventure"", ""science fiction"", ""action""]"
r96sk,1893,Star Wars: Episode I - The Phantom Menace,7.0,"[""adventure"", ""action"", ""science fiction""]"
r96sk,974262,Descendants: The Rise of Red,7.0,"[""fantasy"", ""adventure"", ""family"", ""comedy""]"
CinemaSerf,80278,The Impossible,7.0,"[""drama"", ""thriller"", ""history""]"
tmdb51616167,438631,Dune,8.0,"[""science fiction"", ""adventure""]"
Andre Gonzales,351286,Jurassic World: Fallen Kingdom,5.0,"[""action"", ""adventure"", ""science fiction"", ""thriller""]"
Dr_Nostromo,246655,X-Men: Apocalypse,7.0,"[""action"", ""adventure"", ""science fiction"", ""fantasy""]"
AlfieSGD,1145894,2000 Meters to Andriivka,8.0,"[""documentary"", ""war""]"
CinemaSerf,402431,Wicked,7.0,"[""drama"", ""romance"", ""fantasy""]"
r96sk,822165,Elio,8.0,"[""animation"", ""family"", ""adventure"", ""science fiction"", ""comedy""]"
Andres Gomez,152601,Her,8.0,"[""romance"", ""science fiction"", ""drama""]"
heyflp,1005401,Train Dreams,7.0,"[""drama""]"
Brent Marchant,1195506,Novocaine,1.0,"[""action"", ""comedy"", ""thriller""]"
Chris Sawin,436270,Black Adam,3.0,"[""action"", ""adventure"", ""science fiction""]"
Manuel São Bento,335983,Venom,4.0,"[""science fiction"", ""action""]"
GenerationofSwine,334,Magnolia,1.0,"[""drama""]"
okay0,1103676,The Mastermind,5.0,"[""drama"", ""crime""]"
The Movie Mob,388,Inside Man,8.0,"[""crime"", ""drama"", ""thriller""]"
joy.perry,1008117,Sharp Corner,6.0,"[""thriller"", ""comedy""]"
Chandler Danier,634492,Madame Web,3.0,"[""action"", ""fantasy""]"
misubisu,762,Monty Python and the Holy Grail,10.0,"[""adventure"", ""comedy"", ""fantasy""]"
Gimly,1724,The Incredible Hulk,6.0,"[""science fiction"", ""action"", ""adventure""]"
ahmedaiman99,269149,Zootopia,10.0,"[""animation"", ""adventure"", ""family"", ""comedy""]"
natebjones,1251092,All the Empty Rooms,4.0,"[""documentary""]"
CinemaSerf,1091,The Thing,7.0,"[""horror"", ""mystery"", ""science fiction""]"
Tomizuka0829,1059479,Blue Moon,7.0,"[""drama"", ""history"", ""comedy""]"
Reno,313369,La La Land,7.0,"[""comedy"", ""drama"", ""romance""]"
xxxGONZOxxx,1048115,The Luckiest Man in America,7.0,"[""game show"", ""drama"", ""history"", ""comedy""]"
Manuel São Bento,777443,The Electric State,3.0,"[""science fiction"", ""adventure"", ""action""]"
Tejas Nair,615457,Nobody,7.0,"[""action"", ""thriller""]"
alex1798,1053491,Gunslingers,2.0,"[""western""]"
syn_user_00812,1213640,The Toughest Footrace on Earth,6.0,"[""documentary""]"
CallMeCo,1355758,Hannah Montana 20th Anniversary Special,7.0,"[""family"", ""music"", ""documentary""]"
syn_user_00121,1360355,Bambi: The Reckoning,6.0,"[""horror"", ""thriller""]"
CinemaSerf,11362,The Count of Monte Cristo,6.0,"[""adventure"", ""drama"", ""history"", ""action"", ""thriller""]"
John,62211,Monsters University,10.0,"[""animation"", ""family""]"
syn_user_00110,1245775,Fuck My Son!,2.0,"[""comedy"", ""horror""]"
timelordx,1005864,Icefall,6.0,"[""crime"", ""thriller"", ""action""]"
Gimly,132232,Mama,6.0,"[""horror""]"
CinemaSerf,272,Batman Begins,7.0,"[""drama"", ""crime"", ""action""]"
Adson68,934433,Scream VI,1.0,"[""horror"", ""thriller"", ""crime""]"
John Chard,75780,Jack Reacher,8.0,"[""crime"", ""drama"", ""thriller"", ""action""]"
NxSxS,1325708,Kidnapped: Elizabeth Smart,6.0,"[""documentary"", ""crime""]"
alex1798,964690,The Unholy Trinity,5.0,"[""western"", ""adventure"", ""crime""]"
T,361743,Top Gun: Maverick,10.0,"[""action"", ""drama""]"
GenerationofSwine,216015,Fifty Shades of Grey,10.0,"[""drama"", ""romance"", ""thriller""]"
Wuchak,33,Unforgiven,7.0,"[""western""]"
Dr_Nostromo,296,Terminator 3: Rise of the Machines,7.0,"[""action"", ""thriller"", ""science fiction""]"
r96sk,9982,Chicken Little,7.0,"[""animation"", ""family"", ""comedy""]"
Dr_Nostromo,541671,Ballerina,8.0,"[""action"", ""thriller"", ""crime""]"
Bradym03,742994,The Twits,2.0,"[""fantasy"", ""animation"", ""comedy"", ""family""]"
syn_user_00561,1145516,Predators,2.0,"[""documentary""]"
MovieGuys,1125899,Cleaner,5.0,"[""action"", ""thriller""]"
Wuchak,707,A View to a Kill,7.0,"[""adventure"", ""action"", ""thriller""]"
CinemaSerf,22,Pirates of the Caribbean: The Curse of the Black Pearl,7.0,"[""adventure"", ""fantasy"", ""action""]"
syn_user_00731,1087587,Paul Anka: His Way,4.0,"[""documentary"", ""music""]"
syn_user_01070,848797,One Battle After Another,3.0,"[""thriller"", ""crime"", ""comedy""]"
miguelreina,1076539,I Swear,8.0,"[""drama"", ""history""]"
Filipe Manuel Neto,419430,Get Out,9.0,"[""mystery"", ""thriller"", ""horror""]"
Copeland1994,1201094,WWE Evolution 2025,8.0,"[""drama"", ""action""]"
CinemaSerf,872585,Oppenheimer,7.0,"[""drama"", ""history""]"
Arkam_,1240532,Saturday Night's Main Event XL,6.0,"[""drama"", ""comedy""]"
Manuel São Bento,631843,Old,4.0,"[""thriller"", ""mystery"", ""horror""]"
CinemaSerf,10681,WALL·E,7.0,"[""animation"", ""family"", ""science fiction""]"
daniel_carr,102899,Ant-Man,7.0,"[""science fiction"", ""adventure"", ""action""]"
Andre Gonzales,102651,Maleficent,7.0,"[""fantasy"", ""adventure"", ""action"", ""family"", ""romance""]"
CinemaSerf,1193501,Whistle,6.0,"[""horror"", ""mystery""]"
anthonypagan1975,131631,The Hunger Games: Mockingjay - Part 1,10.0,"[""science fiction"", ""adventure"", ""thriller""]"
Eu sou gostoso,962950,Whistle,4.0,"[""horror"", ""mystery""]"
M.A.DinethHansanaKarunarathna,429617,Spider-Man: Far From Home,10.0,"[""action"", ""adventure"", ""science fiction""]"
syn_user_00098,964766,Doin' It,9.0,"[""comedy""]"
tmdb45226627,76600,Avatar: The Way of Water,8.0,"[""action"", ""adventure"", ""science fiction""]"
mk677hd,1167078,STRAW,5.0,"[""drama"", ""thriller"", ""crime""]"
Per Gunnar Jonsson,141052,Justice League,9.0,"[""action"", ""adventure"", ""science fiction""]"
kisaligol,146233,Prisoners,4.0,"[""drama"", ""thriller"", ""crime""]"
syn_user_00178,1360412,I Swear,5.0,"[""drama"", ""history""]"
Copeland1994,742747,The Home,6.0,"[""horror"", ""mystery"", ""thriller""]"
JPV852,1159559,Scream 7,3.0,"[""horror"", ""mystery"", ""crime""]"
TomTag,324857,Spider-Man: Into the Spider-Verse,7.0,"[""animation"", ""action"", ""adventure"", ""science fiction""]"
syn_user_00887,1024811,Happy Gilmore 2,8.0,"[""comedy""]"
Wuchak,564,The Mummy,8.0,"[""adventure"", ""action"", ""fantasy""]"
lkredhat,9693,Children of Men,6.0,"[""science fiction"", ""thriller""]"
Per Gunnar Jonsson,87827,Life of Pi,4.0,"[""adventure"", ""drama""]"
Andres Gomez,22970,The Cabin in the Woods,8.0,"[""horror"", ""mystery"", ""comedy""]"
CinemaSerf,808,Shrek,7.0,"[""animation"", ""comedy"", ""fantasy"", ""adventure"", ""family""]"
bcdunkel,813190,Karate Kid: Legends,8.0,"[""action"", ""drama"", ""adventure""]"
syn_user_01005,832181,People We Meet on Vacation,3.0,"[""drama"", ""romance"", ""comedy""]"
CinemaSerf,976573,Elemental,6.0,"[""family"", ""fantasy"", ""comedy"", ""romance"", ""animation""]"
Manuel São Bento,629542,The Bad Guys,7.0,"[""family"", ""comedy"", ""crime"", ""adventure"", ""animation"", ""action""]"
MovieGuys,1376434,Predator: Killer of Killers,3.0,"[""animation"", ""action"", ""science fiction"", ""thriller""]"
syn_user_00109,1079122,Hostile Takeover,10.0,"[""action"", ""comedy"", ""thriller""]"
Spiderkitten,967810,Send Help,6.0,"[""thriller"", ""horror"", ""comedy""]"
hgram,1093997,Splitsville,8.0,"[""comedy"", ""romance""]"
Andre Gonzales,458156,John Wick: Chapter 3 - Parabellum,8.0,"[""action"", ""thriller"", ""crime""]"
NeoBrowser,605,The Matrix Revolutions,8.0,"[""adventure"", ""action"", ""thriller"", ""science fiction""]"
Sejian,763215,Damsel,6.0,"[""fantasy"", ""action"", ""adventure""]"
jarvis-8243417,392717,Ballerina,6.0,"[""action"", ""crime"", ""thriller""]"
CursedChico,965643,She Rides Shotgun,7.0,"[""thriller"", ""action"", ""crime""]"
BullserkerYT,1139260,Popeye's Revenge,3.0,"[""horror""]"
Gimly,181808,Star Wars: The Last Jedi,5.0,"[""adventure"", ""action"", ""science fiction""]"
zxki,977350,Hallow Road,7.0,"[""thriller"", ""mystery"", ""horror""]"
syn_user_00516,1360750,Greenland 2: Migration,7.0,"[""thriller"", ""adventure"", ""science fiction""]"
Idek,449045,The Long Walk,7.0,"[""thriller"", ""science fiction"", ""horror""]"
Manuel São Bento,581726,Infinite,5.0,"[""science fiction"", ""action"", ""adventure""]"
tmdb15435519,524047,Greenland,5.0,"[""action"", ""adventure"", ""thriller"", ""science fiction""]"
syn_user_00087,1360321,The Phoenician Scheme,9.0,"[""comedy"", ""adventure"", ""crime""]"
jarvis-5251579,994443,Kryptic,1.0,"[""drama"", ""horror"", ""thriller""]"
Copeland1994,1121768,V/H/S/Halloween,8.0,"[""horror"", ""thriller"", ""holiday""]"
fxaman,1325708,Kidnapped: Elizabeth Smart,6.0,"[""documentary"", ""crime""]"
Farnsworth2,889993,The Pickup,7.0,"[""comedy"", ""crime"", ""action""]"
decatur555,469557,Trap House,5.0,"[""action"", ""crime"", ""thriller""]"
syn_user_01417,1361651,He's Watching You,3.0,"[""horror"", ""thriller""]"
Sejian,823464,Godzilla x Kong: The New Empire,6.0,"[""action"", ""adventure"", ""science fiction""]"
ZACKSBR,122857,Universal Soldier: Day of Reckoning,9.0,"[""action"", ""science fiction"", ""thriller""]"
Dangerdanko,848797,One Battle After Another,7.0,"[""thriller"", ""crime"", ""comedy""]"
zxki,1330217,Dave Chappelle: The Unstoppable...,6.0,"[""comedy""]"
Wuchak,70345,Sssssss,5.0,"[""horror"", ""science fiction""]"
jw,333339,Ready Player One,5.0,"[""adventure"", ""action"", ""science fiction""]"
Jim222001,1186205,WWE Backlash 2025,7.0,"[""drama"", ""action""]"
syn_user_00407,1088603,Strange Harvest,6.0,"[""horror"", ""crime"", ""mystery""]"
syn_user_00745,1294119,Discreet,5.0,"[""thriller"", ""drama""]"
Copeland1994,1186205,WWE Backlash 2025,7.0,"[""drama"", ""action""]"
paldrinc,1023819,Oh. What. Fun.,5.0,"[""comedy"", ""holiday""]"
miguelreina,1231018,The Last Grail Hunter,3.0,"[""science fiction"", ""horror""]"
r96sk,10530,Pocahontas,7.0,"[""adventure"", ""animation"", ""family"", ""romance""]"
Prabu_CR7,1226951,To Get Her,7.0,"[""action""]"
syn_user_00127,1005421,Together,9.0,"[""horror"", ""romance""]"
siggi963,906898,Tornado,5.0,"[""drama"", ""action"", ""western""]"
syn_user_00685,219435,The Toxic Avenger Unrated,5.0,"[""action"", ""comedy"", ""superhero"", ""science fiction""]"
tensharpe,545611,Everything Everywhere All at Once,8.0,"[""action"", ""adventure"", ""science fiction""]"
Mex5150,438631,Dune,4.0,"[""science fiction"", ""adventure""]"
glasgow1975,1326284,Stuffed,5.0,"[""comedy""]"
j2k4,1078747,Traumatika,1.0,"[""horror""]"
0w2k4xa0,1244450,Marvel Studios' The Fantastic Four: First Steps - World Premiere,6.0,"[""documentary""]"
skutergirl,1163632,The Moment,5.0,"[""comedy"", ""music"", ""drama""]"
jarvis-5251579,785317,Tin Soldier,5.0,"[""action"", ""thriller""]"
Anue,181808,Star Wars: The Last Jedi,1.0,"[""adventure"", ""action"", ""science fiction""]"
tmdb47396461,458156,John Wick: Chapter 3 - Parabellum,4.0,"[""action"", ""thriller"", ""crime""]"
syn_user_00489,1221666,Homemade Gatorade,6.0,"[""suspense"", ""animation"", ""drama"", ""comedy"", ""horror""]"
Stephen Campbell,533444,Waves,8.0,"[""romance"", ""drama""]"
paldrinc,1000015,Mercy,2.0,"[""science fiction"", ""action"", ""thriller""]"
adansantos,838898,Eden,3.0,"[""thriller"", ""drama""]"
syn_user_00506,1360740,Kevin Hart: Acting My Age,8.0,"[""comedy""]"
adansantos,868923,Four Mothers,5.0,"[""comedy"", ""drama""]"
syn_user_00744,1360978,The Home,5.0,"[""horror"", ""mystery"", ""thriller""]"
TobyBenson,383498,Deadpool 2,9.0,"[""action"", ""comedy"", ""adventure""]"
GeekMasher,8681,Taken,10.0,"[""action"", ""thriller""]"
Sam_Mvhd,545111,Bugonia,4.0,"[""science fiction"", ""thriller"", ""comedy""]"
Andre Gonzales,608,Men in Black II,8.0,"[""action"", ""comedy"", ""science fiction""]"
Enes_,1019261,Primitive War,4.0,"[""action"", ""horror"", ""war"", ""science fiction""]"
Dr_Nostromo,218,The Terminator,9.0,"[""action"", ""thriller"", ""science fiction""]"
Catsy,1210299,Influencers,3.0,"[""horror"", ""thriller""]"
timekeeperseven,553090,Rust,1.0,"[""western"", ""action"", ""drama""]"
CinemaSerf,44736,The Long Ships,5.0,"[""adventure"", ""drama""]"
jarvis-16353394,999650,Dead of Winter,6.0,"[""thriller"", ""action""]"
Peter89Spencer,373571,Godzilla: King of the Monsters,9.0,"[""science fiction"", ""action""]"
jw,495764,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),3.0,"[""action"", ""crime""]"
Reythan,1165629,A Very Jonas Christmas Movie,8.0,"[""comedy"", ""musical"", ""music""]"
ArielRodriguez,1174061,Goodbye June,7.0,"[""drama""]"
Chandler Danier,986056,Thunderbolts*,7.0,"[""action"", ""science fiction"", ""adventure""]"
syn_user_00422,1360656,Bury the Devil,4.0,"[""horror"", ""thriller""]"
tpasi,1005802,Highest 2 Lowest,1.0,"[""crime"", ""thriller"", ""drama""]"
Andre Gonzales,57800,Ice Age: Continental Drift,8.0,"[""animation"", ""comedy"", ""adventure"", ""family""]"
el.griff1111@gmail.com,1162824,The Age of Disclosure,10.0,"[""documentary""]"
CinemaSerf,156022,The Equalizer,7.0,"[""thriller"", ""action"", ""crime""]"
mattwilde123,273481,Sicario,7.0,"[""action"", ""crime"", ""thriller""]"
Jack Tractive,1317879,The Boulet Brothers' Holiday of Horrors,3.0,"[""horror"", ""holiday""]"
DanDare,433,Mary Poppins,4.0,"[""comedy"", ""family"", ""fantasy""]"
The Movie Mob,218,The Terminator,9.0,"[""action"", ""thriller"", ""science fiction""]"
tmdb93836550,206647,Spectre,4.0,"[""action"", ""adventure"", ""thriller""]"
MovieGuys,929590,Civil War,6.0,"[""war"", ""action"", ""drama""]"
Mister Crowley,1163318,Good Boy,6.0,"[""horror""]"
tpasi,1267301,Takeout,7.0,"[""horror"", ""thriller""]"
Christian Butoi,348,Alien,10.0,"[""horror"", ""science fiction""]"
Martha,420818,The Lion King,6.0,"[""adventure"", ""drama"", ""family"", ""animation""]"
CinemaSerf,1124620,The Monkey,6.0,"[""horror"", ""comedy""]"
Bulletproof5FDP,141052,Justice League,4.0,"[""action"", ""adventure"", ""science fiction""]"
Enes_,1078747,Traumatika,2.0,"[""horror""]"
CinemaSerf,162,Edward Scissorhands,7.0,"[""fantasy"", ""drama"", ""romance""]"
independentmovieloverrr,1127088,Frontier Crucible,6.0,"[""western"", ""thriller""]"
Andre Gonzales,420817,Aladdin,5.0,"[""adventure"", ""fantasy"", ""romance"", ""family""]"
r96sk,37135,Tarzan,8.0,"[""family"", ""adventure"", ""animation"", ""drama"", ""action""]"
jujitsu4Ever,907055,Diablo,8.0,"[""action"", ""thriller"", ""crime""]"
tensharpe,661374,Glass Onion: A Knives Out Mystery,8.0,"[""comedy"", ""crime"", ""mystery""]"
Giant6690,998723,Anaconda,5.0,"[""adventure"", ""horror"", ""comedy""]"
CinemaSerf,1090,The Thirteenth Floor,7.0,"[""thriller"", ""science fiction"", ""mystery""]"
Andres Gomez,631,Sunrise: A Song of Two Humans,7.0,"[""drama"", ""romance""]"
jarvis-5251579,531178,Project Hail Mary,10.0,"[""science fiction"", ""adventure""]"
Filipe Manuel Neto,1726,Iron Man,9.0,"[""action"", ""science fiction"", ""adventure""]"
biancarockr,889737,Joker: Folie à Deux,5.0,"[""drama"", ""crime"", ""thriller""]"
JC230,835215,The Conjuring: Last Rites,2.0,"[""horror""]"
Patrick E. Abe,8656,Deep Impact,8.0,"[""action"", ""drama"", ""science fiction""]"
Manuel São Bento,450465,Glass,7.0,"[""thriller"", ""drama"", ""science fiction""]"
Manuel São Bento,800158,The Killer,6.0,"[""crime"", ""thriller""]"
AlfieSGD,1178025,Éiru,8.0,"[""animation"", ""adventure"", ""fantasy""]"
Enes_,998723,Anaconda,7.0,"[""adventure"", ""horror"", ""comedy""]"
MovieGuys,823464,Godzilla x Kong: The New Empire,6.0,"[""action"", ""adventure"", ""science fiction""]"
pkway,967798,We Bury the Dead,7.0,"[""thriller"", ""horror""]"
syn_user_00996,1091238,Lesbian Space Princess,5.0,"[""animation"", ""comedy"", ""science fiction"", ""musical""]"
jarvis-15168185,1288474,Taylor Swift | The Eras Tour | The Final Show,10.0,"[""music"", ""documentary""]"
Wuchak,391713,Lady Bird,3.0,"[""drama"", ""comedy""]"
MaraBGC,531178,Project Hail Mary,10.0,"[""science fiction"", ""adventure""]"
Wuchak,646,Dr. No,8.0,"[""adventure"", ""action"", ""thriller""]"
Andre Gonzales,8835,Legally Blonde,7.0,"[""comedy""]"
Per Gunnar Jonsson,122857,Universal Soldier: Day of Reckoning,5.0,"[""action"", ""science fiction"", ""thriller""]"
slayrrr666,5876,The Mist,8.0,"[""horror"", ""science fiction"", ""thriller""]"
CinemaSerf,72190,World War Z,7.0,"[""action"", ""horror"", ""science fiction"", ""thriller""]"
CinemaSerf,426063,Nosferatu,7.0,"[""horror"", ""fantasy""]"
fasterfilmcritic,1081550,"Sorry, Baby",8.0,"[""drama"", ""comedy""]"
Reno,273248,The Hateful Eight,8.0,"[""drama"", ""mystery"", ""western""]"
NxSxS,1318470,Corey Feldman vs. the World,6.0,"[""documentary"", ""music""]"
manicure,854887,Frankenstein,4.0,"[""drama"", ""horror"", ""fantasy""]"
syn_user_00162,1360396,Helloween,9.0,"[""horror""]"
tmdb40011370,78,Blade Runner,8.0,"[""science fiction"", ""drama"", ""thriller""]"
Manuel São Bento,1242937,The Dreadful,5.0,"[""horror""]"
CinemaSerf,176,Saw,7.0,"[""horror"", ""mystery"", ""crime""]"
JPV852,841,Dune,6.0,"[""action"", ""science fiction"", ""adventure""]"
myke2145,777917,Wicked: For Good,8.0,"[""fantasy"", ""romance"", ""musical"", ""adventure""]"
lancebridges,1205614,WWE NXT Battleground 2025,9.0,"[""action""]"
Brent Marchant,1236153,Mercy,6.0,"[""science fiction"", ""action"", ""thriller""]"
tmdb51616167,466272,Once Upon a Time... in Hollywood,4.0,"[""comedy"", ""drama"", ""thriller""]"
Manuel São Bento,637649,Wrath of Man,7.0,"[""thriller"", ""crime"", ""drama""]"
AstroNoud,49026,The Dark Knight Rises,9.0,"[""action"", ""crime"", ""drama"", ""thriller""]"
John Chard,28,Apocalypse Now,10.0,"[""drama"", ""war""]"
Manuel São Bento,425274,Now You See Me: Now You Don't,5.0,"[""thriller"", ""crime""]"
FerdinandoLM,1184918,The Wild Robot,9.0,"[""animation"", ""science fiction"", ""family""]"
theKossak,1023819,Oh. What. Fun.,1.0,"[""comedy"", ""holiday""]"
GenerationofSwine,7364,Sahara,10.0,"[""action"", ""adventure"", ""comedy"", ""drama"", ""mystery""]"
syn_user_01228,1361462,NXT Vengeance Day 2026,9.0,"[""action"", ""crime"", ""thriller""]"
Manuel São Bento,1242419,Roofman,7.0,"[""crime"", ""comedy"", ""drama""]"
Kurtzmansucks,181808,Star Wars: The Last Jedi,1.0,"[""adventure"", ""action"", ""science fiction""]"
pea.pod,1072420,Ricky Gervais: Mortality,6.0,"[""comedy""]"
Dean,701387,Bugonia,10.0,"[""science fiction"", ""thriller"", ""comedy""]"
janeyee,753342,Napoleon,3.0,"[""history"", ""war"", ""romance""]"
The Movie Mob,127585,X-Men: Days of Future Past,10.0,"[""action"", ""adventure"", ""science fiction""]"
Kyle McNish,531178,Project Hail Mary,10.0,"[""science fiction"", ""adventure""]"
RalphRahal,238,The Godfather,10.0,"[""drama"", ""crime""]"
tvwatcherdenver,1049629,Downton Abbey: The Grand Finale,7.0,"[""drama"", ""romance""]"
Manuel São Bento,359410,Road House,6.0,"[""action"", ""thriller""]"
Peter McGinn,872585,Oppenheimer,7.0,"[""drama"", ""history""]"
JPV852,1771,Captain America: The First Avenger,7.0,"[""action"", ""adventure"", ""science fiction""]"
r96sk,1097549,Babygirl,5.0,"[""romance"", ""thriller""]"
syn_user_01384,1361618,Discreet,4.0,"[""thriller"", ""drama""]"
CinemaSerf,500,Reservoir Dogs,6.0,"[""crime"", ""thriller""]"
