index,split
272,train
273,val
274,train
275,train
276,test
277,test
278,val
279,train
280,test
281,train
282,test
283,train
284,test
285,train
286,val
287,train
288,test
289,train
290,train
291,train
292,train
293,test
294,test
295,test
296,train
297,train
298,train
299,train
300,train
301,train
302,train
303,train
304,train
305,train
306,test
307,test
308,train
309,train
310,train
311,test
312,train
313,test
314,train
315,train
316,test
317,train
318,val
319,test
320,train
321,test
322,test
323,train
324,train
325,train
326,test
327,train
328,train
329,train
330,train
331,test
332,train
333,train
334,train
335,train
336,test
337,test
338,train
339,train
340,test
341,test
342,train
343,train
344,train
345,test
346,train
347,train
348,train
349,train
350,train
351,test
352,train
353,train
354,train
355,val
356,train
357,train
358,train
359,train
360,train
361,test
362,train
363,test
364,train
365,test
366,train
367,test
368,train
369,train
370,train
371,test
372,test
373,test
374,train
375,test
376,train
377,test
378,train
379,train
380,train
381,val
382,train
383,train
384,test
385,test
386,test
387,train
388,test
389,test
390,test
391,train
392,train
393,train
394,train
395,test
396,val
397,val
398,val
399,train
400,train
401,train
402,test
403,train
404,train
405,train
406,train
407,train
408,train
409,test
410,test
411,train
412,train
413,train
414,test
415,test
416,val
417,train
418,test
419,train
420,train
421,train
422,train
423,test
424,train
425,train
426,test
427,test
428,train
429,val
430,train
431,train
432,test
433,train
434,test
435,train
436,test
437,train
438,train
439,test
440,test
441,train
442,val
443,train
444,train
445,val
446,train
447,train
448,train
449,train
450,train
451,train
452,train
453,val
454,test
455,test
456,train
457,test
458,train
459,train
460,train
461,val
462,val
463,train
464,train
465,train
466,test
467,val
468,train
469,train
470,test
471,val
472,val
473,val
474,train
475,test
476,train
477,train
478,test
479,train
480,train
481,train
482,train
483,train
484,train
485,train
486,test
487,val
488,test
489,train
490,train
491,val
492,test
493,val
494,train
495,train
496,train
497,train
498,test
499,train
500,test
501,test
502,train
503,train
504,test
505,train
506,val
507,train
508,test
509,train
510,val
511,test
512,train
513,test
514,train
515,test
516,train
517,train
518,train
519,test
520,train
521,test
522,train
523,train
524,train
525,train
526,test
527,train
528,test
529,train
530,val
531,test
532,train
533,train
534,test
535,test
536,train
537,train
538,test
539,test
540,train
541,train
542,test
543,train
544,test
545,test
546,val
547,test
548,train
549,train
550,train
551,train
552,train
553,train
554,train
555,test
556,train
557,train
558,val
559,test
560,val
561,train
562,train
563,test
564,train
565,val
566,train
567,train
568,train
569,val
570,train
571,train
572,test
573,val
574,train
575,train
576,train
577,train
578,train
579,train
580,val
581,train
582,train
583,test
584,val
585,test
586,train
587,train
588,train
589,test
590,train
591,train
592,train
593,test
594,train
595,train
596,train
597,train
598,val
599,train
600,train
601,test
602,train
603,train
604,train
605,val
606,train
607,train
608,val
609,train
610,train
611,train
612,train
613,val
614,train
615,train
616,test
617,val
618,train
619,val
620,val
621,train
622,train
623,test
624,train
625,train
626,train
627,test
628,train
629,train
630,val
631,test
632,train
633,train
634,train
635,val
636,train
637,test
638,test
639,test
640,train
641,train
642,train
643,train
644,test
645,test
646,test
647,test
648,train
649,train
650,train
651,train
652,train
653,train
654,train
655,train
656,train
657,train
658,train
659,train
660,test
661,train
662,train
663,train
664,train
665,train
666,test
667,train
668,train
669,train
670,train
671,test
672,train
673,train
674,train
675,test
676,val
677,train
678,test
679,train
680,train
681,train
682,train
683,train
684,val
685,val
686,train
687,train
688,train
689,train
690,test
691,train
692,train
693,train
694,train
695,train
696,test
697,val
698,train
699,train
700,train
701,train
702,train
703,train
704,val
705,train
706,val
707,train
708,train
709,test
710,train
711,test
712,train
713,train
714,train
715,val
716,train
717,val
718,train
719,train
720,test
721,val
722,test
723,train
724,test
725,train
726,train
727,test
728,test
729,train
730,train
731,train
732,train
733,train
734,test
735,val
736,test
737,train
738,train
739,train
740,train
741,train
742,train
743,train
744,train
745,test
746,train
747,train
748,val
749,train
750,train
751,test
752,train
753,test
754,train
755,test
756,train
757,train
758,test
759,test
760,train
761,train
762,train
763,test
764,test
765,train
766,test
767,test
768,train
769,test
770,train
771,train
772,train
773,train
774,train
775,train
776,test
777,test
778,test
779,train
780,test
781,train
782,test
783,train
784,train
785,train
786,train
787,train
788,val
789,test
790,val
791,train
792,test
793,train
794,test
795,train
796,train
797,test
798,train
799,train
800,test
801,train
802,val
803,train
804,train
805,test
806,test
807,train
808,test
809,train
810,val
811,val
812,val
813,train
814,test
815,test
816,train
817,val
818,val
819,train
820,train
821,train
822,test
823,train
824,train
825,train
826,train
827,test
828,train
829,val
830,train
831,train
832,train
833,train
834,train
835,train
836,train
837,val
838,train
839,train
840,train
841,test
842,train
843,train
844,test
845,test
846,train
847,train
848,train
849,test
850,train
851,train
852,val
853,val
854,train
855,train
856,val
857,train
858,train
859,train
860,val
861,train
862,val
863,train
864,train
865,train
866,train
867,test
868,train
869,test
870,train
871,train
872,train
873,val
874,train
875,val
876,train
877,test
878,train
879,train
880,test
881,train
882,train
883,test
884,train
885,val
886,train
887,train
888,train
889,test
890,train
891,val
892,train
893,val
894,train
895,train
896,train
897,test
898,train
899,test
900,val
901,test
902,test
903,train
904,test
905,test
906,train
907,train
908,train
909,train
910,train
911,train
912,train
913,test
914,train
915,val
916,train
917,train
918,test
919,train
920,test
921,test
922,train
923,test
924,train
925,train
926,train
927,train
928,test
929,val
930,val
931,test
932,train
933,train
934,train
935,train
936,val
937,test
938,val
939,train
940,train
941,train
942,test
943,train
944,train
945,val
946,train
947,val
948,train
949,val
950,train
951,train
952,test
953,train
954,train
955,train
956,train
957,test
958,train
959,train
960,test
961,train
962,train
963,train
964,test
965,train
966,train
967,train
968,train
969,train
970,train
971,train
972,test
973,train
974,train
975,test
976,val
977,val
978,val
979,train
980,test
981,train
982,test
983,test
984,train
985,test
986,test
987,test
988,train
989,train
990,val
991,test
992,test
993,train
994,test
995,train
996,train
997,train
998,train
999,train
1000,train
1001,test
1002,train
1003,train
1004,train
1005,train
1006,test
1007,train
1008,train
1009,train
1010,train
1011,train
1012,test
1013,test
1014,test
1015,train
1016,train
1017,train
1018,test
1019,train
1020,train
1021,test
1022,test
1023,train
1024,train
1025,train
1026,test
1027,train
1028,train
1029,train
1030,train
1031,train
1032,train
1033,train
1034,test
1035,train
1036,test
1037,val
1038,train
1039,train
1040,test
1041,train
1042,val
1043,test
1044,train
1045,test
1046,test
1047,val
1048,train
1049,train
1050,train
1051,train
1052,train
1053,train
1054,train
1055,test
1056,val
1057,train
1058,train
1059,train
1060,train
1061,train
1062,train
1063,train
1064,test
1065,train
1066,test
1067,train
1068,test
1069,train
1070,train
1071,train
1072,train
1073,train
1074,train
1075,train
1076,train
1077,test
1078,val
1079,train
1080,train
1081,train
1082,train
1083,test
1084,val
1085,train
1086,test
1087,train
1088,train
1089,train
1090,test
1091,train
1092,train
1093,test
1094,train
1095,train
1096,train
1097,test
1098,train
1099,val
1100,val
1101,train
1102,val
1103,test
1104,train
1105,train
1106,test
1107,val
1108,train
1109,test
1110,train
1111,test
1112,train
1113,test
1114,train
1115,train
1116,train
1117,train
1118,train
1119,train
1120,train
1121,test
1122,val
1123,val
1124,test
1125,val
1126,train
1127,train
1128,train
1129,val
1130,test
1131,train
1132,val
1133,test
1134,train
1135,train
1136,test
1137,train
1138,train
1139,test
1140,test
1141,train
1142,val
1143,val
1144,train
1145,val
1146,test
1147,train
1148,train
1149,train
1150,val
1151,train
1152,test
1153,test
1154,train
1155,test
1156,val
1157,test
1158,train
1159,train
1160,test
1161,test
1162,train
1163,train
1164,train
1165,val
1166,train
1167,train
1168,val
1169,test
1170,test
1171,train
1172,train
1173,val
1174,test
1175,train
1176,val
1177,train
1178,val
1179,train
1180,train
1181,train
1182,train
1183,train
1184,val
1185,train
1186,train
1187,train
1188,test
1189,train
1190,train
1191,train
1192,train
1193,train
1194,train
1195,train
1196,test
1197,val
1198,val
1199,val
1200,train
1201,train
1202,train
1203,train
1204,test
1205,train
1206,test
1207,train
1208,train
1209,test
1210,val
1211,train
1212,test
1213,val
1214,train
1215,train
1216,train
1217,train
1218,train
1219,train
1220,test
1221,test
1222,train
1223,train
1224,test
1225,train
1226,train
1227,train
1228,train
1229,train
1230,train
1231,test
1232,val
1233,train
1234,val
1235,train
1236,train
1237,test
1238,train
1239,val
1240,val
1241,train
1242,test
1243,test
1244,train
1245,train
1246,val
1247,val
1248,test
1249,val
1250,train
1251,train
1252,train
1253,train
1254,test
1255,test
1256,val
1257,train
1258,train
1259,train
1260,val
1261,train
1262,train
1263,test
1264,train
1265,train
1266,train
1267,val
1268,train
1269,train
1270,test
1271,train
1272,val
1273,test
1274,train
1275,test
1276,val
1277,test
1278,test
1279,test
1280,train
1281,train
1282,test
1283,test
1284,train
1285,train
1286,test
1287,train
1288,test
1289,train
1290,train
1291,train
1292,train
1293,train
1294,test
1295,test
1296,train
1297,val
1298,train
1299,train
1300,train
1301,train
1302,test
1303,test
1304,train
1305,train
1306,train
1307,test
1308,train
1309,test
1310,test
1311,test
1312,train
1313,train
1314,test
1315,test
1316,train
1317,train
1318,train
1319,test
1320,train
1321,train
1322,test
1323,train
1324,train
1325,train
1326,train
1327,train
1328,test
1329,train
1330,test
1331,val
1332,train
1333,train
1334,test
1335,train
1336,train
1337,train
1338,train
1339,val
1340,val
1341,train
1342,val
1343,test
1344,train
1345,train
1346,test
1347,train
1348,test
1349,val
1350,train
1351,train
1352,test
1353,train
1354,train
1355,train
1356,train
1357,train
1358,train
1359,train
1360,test
1361,train
1362,train
1363,train
1364,train
1365,train
1366,val
1367,test
1368,train
1369,train
1370,train
1371,test
1372,train
1373,train
1374,train
1375,train
1376,train
1377,test
1378,train
1379,train
1380,val
1381,train
1382,val
1383,test
1384,train
1385,train
1386,train
1387,test
1388,train
1389,train
1390,test
1391,val
1392,train
1393,test
1394,train
1395,train
1396,train
1397,train
1398,test
1399,train
1400,test
1401,train
1402,val
1403,train
1404,train
1405,test
1406,train
1407,test
1408,test
1409,train
1410,val
1411,train
1412,train
1413,train
1414,train
1415,train
1416,val
1417,test
1418,val
1419,test
1420,test
1421,train
1422,test
1423,val
1424,test
1425,train
1426,train
1427,test
1428,train
1429,train
1430,test
1431,train
1432,train
1433,train
1434,val
1435,test
1436,train
1437,train
1438,train
1439,train
1440,train
1441,test
1442,train
1443,train
1444,test
1445,train
1446,train
1447,val
1448,train
1449,train
1450,test
1451,train
1452,val
1453,train
1454,train
1455,train
1456,train
1457,train
1458,train
1459,train
1460,test
1461,train
1462,train
1463,train
1464,test
1465,train
1466,val
1467,test
1468,train
1469,train
1470,test
1471,train
1472,train
1473,train
1474,test
1475,train
1476,train
1477,train
1478,test
1479,train
1480,val
1481,val
1482,train
1483,test
1484,val
1485,test
1486,test
1487,train
1488,train
1489,val
1490,test
1491,train
1492,val
1493,train
1494,test
1495,train
1496,val
1497,train
1498,train
1499,train
1500,train
1501,train
1502,train
1503,val
1504,test
1505,train
1506,test
1507,train
1508,val
1509,train
1510,test
1511,train
1512,test
1513,train
1514,train
1515,train
1516,train
1517,test
1518,train
1519,test
1520,test
1521,train
1522,train
1523,train
1524,test
1525,train
1526,train
1527,train
1528,val
1529,train
1530,val
1531,train
1532,test
1533,train
1534,train
1535,train
1536,train
1537,train
1538,train
1539,test
1540,train
1541,train
1542,val
1543,val
1544,val
1545,test
1546,train
1547,test
1548,test
1549,train
1550,test
1551,train
1552,val
1553,train
1554,train
1555,test
1556,val
1557,train
1558,test
1559,train
1560,test
1561,train
1562,train
1563,train
1564,train
1565,train
1566,train
1567,train
1568,test
1569,val
1570,test
1571,val
1572,train
1573,train
1574,train
1575,train
1576,test
1577,train
1578,val
1579,train
1580,train
1581,test
1582,test
1583,train
1584,train
1585,test
1586,train
1587,train
1588,train
1589,train
1590,val
1591,test
1592,train
1593,train
1594,train
1595,test
1596,train
1597,test
1598,train
1599,train
1600,train
1601,train
1602,val
1603,train
1604,train
1605,train
1606,train
1607,train
1608,train
1609,train
1610,test
1611,train
1612,train
1613,test
1614,val
1615,train
1616,train
1617,train
1618,test
1619,train
1620,val
1621,train
1622,test
1623,train
1624,train
1625,train
1626,train
1627,train
1628,train
1629,train
1630,train
1631,test
1632,train
1633,train
1634,test
1635,train
1636,val
1637,val
1638,train
1639,train
1640,val
1641,train
1642,train
1643,test
1644,val
1645,train
1646,train
1647,train
1648,val
1649,test
1650,train
1651,train
1652,test
1653,train
1654,val
1655,train
1656,train
1657,test
1658,test
1659,train
1660,train
1661,train
1662,val
1663,train
1664,test
1665,train
1666,train
1667,train
1668,val
1669,val
1670,train
1671,train
1672,train
1673,train
1674,train
1675,train
1676,train
1677,train
1678,train
1679,test
1680,train
1681,train
1682,val
1683,test
1684,train
1685,test
1686,val
1687,test
1688,train
1689,test
1690,train
1691,train
1692,train
1693,train
1694,train
1695,val
1696,train
1697,train
1698,test
1699,test
1700,train
1701,train
1702,train
1703,test
1704,test
1705,train
1706,train
1707,test
1708,val
1709,val
1710,test
1711,train
1712,train
1713,train
1714,val
1715,train
1716,train
1717,train
1718,test
1719,val
1720,train
1721,train
1722,train
1723,test
1724,train
1725,train
1726,val
1727,val
1728,train
1729,val
1730,train
1731,train
1732,val
1733,train
1734,train
1735,train
1736,train
1737,train
1738,train
1739,test
1740,train
1741,val
1742,train
1743,test
1744,train
1745,val
1746,test
1747,val
1748,test
1749,train
1750,train
1751,test
1752,train
1753,train
1754,train
1755,train
1756,test
1757,val
1758,train
1759,train
1760,val
1761,train
1762,train
1763,train
1764,train
1765,train
1766,train
1767,train
1768,train
1769,test
1770,test
1771,train
1772,train
1773,train
1774,test
1775,test
1776,val
1777,test
1778,val
1779,train
1780,train
1781,train
1782,train
1783,train
1784,val
1785,train
1786,train
1787,train
1788,test
1789,train
1790,test
1791,train
1792,train
1793,train
1794,test
1795,val
1796,test
1797,train
1798,train
1799,train
1800,val
1801,train
1802,val
1803,train
1804,train
1805,train
1806,test
1807,train
1808,test
1809,train
1810,train
1811,train
1812,train
1813,test
1814,train
1815,train
1816,val
1817,val
1818,test
1819,test
1820,val
1821,test
1822,train
1823,train
1824,train
1825,val
1826,train
1827,test
1828,train
1829,train
1830,train
1831,val
1832,val
1833,train
1834,train
1835,train
1836,val
1837,test
1838,test
1839,test
1840,train
1841,train
1842,val
1843,val
1844,train
1845,train
1846,train
1847,train
1848,train
1849,train
1850,val
1851,train
1852,train
1853,val
1854,val
1855,test
1856,train
1857,train
1858,train
1859,train
1860,train
1861,val
1862,test
1863,train
1864,train
1865,train
1866,train
1867,train
1868,test
1869,test
1870,train
1871,train
1872,train
1873,train
1874,train
1875,test
1876,val
1877,train
1878,test
1879,val
1880,train
1881,test
1882,train
1883,val
1884,val
1885,train
1886,test
1887,train
1888,train
1889,train
1890,train
1891,val
1892,train
1893,train
1894,train
1895,train
1896,val
1897,train
1898,test
1899,train
1900,train
1901,test
1902,train
1903,train
1904,train
1905,val
1906,val
1907,val
1908,test
1909,test
1910,train
1911,train
1912,test
1913,train
1914,train
1915,val
1916,train
1917,test
1918,train
1919,train
1920,train
1921,train
1922,train
1923,test
1924,train
1925,train
1926,train
1927,train
1928,train
1929,test
1930,train
1931,val
1932,train
1933,test
1934,train
1935,test
1936,train
1937,val
1938,test
1939,train
1940,test
1941,train
1942,train
1943,train
1944,train
1945,test
1946,train
1947,train
1948,val
1949,train
1950,train
1951,train
1952,val
1953,train
1954,train
1955,train
1956,train
1957,test
1958,train
1959,train
1960,test
1961,train
1962,train
1963,test
1964,train
1965,train
1966,train
1967,train
1968,test
1969,train
1970,val
1971,train
1972,train
1973,train
1974,train
1975,train
1976,train
1977,val
1978,train
1979,train
1980,train
1981,train
1982,train
1983,train
1984,train
1985,train
1986,train
1987,train
1988,train
1989,train
1990,train
1991,train
1992,test
1993,test
1994,train
1995,train
1996,train
1997,train
1998,train
1999,val
2000,train
2001,test
2002,train
2003,train
2004,train
2005,train
2006,train
2007,train
2008,test
2009,train
2010,train
2011,train
2012,train
2013,train
2014,test
2015,train
2016,test
2017,train
2018,train
2019,train
2020,test
2021,train
2022,train
2023,test
2024,train
2025,train
2026,test
2027,train
2028,val
2029,train
2030,train
2031,train
2032,train
2033,train
2034,train
2035,test
2036,train
2037,train
2038,val
2039,test
2040,train
2041,test
2042,train
2043,train
2044,train
2045,train
2046,train
2047,train
2048,test
2049,val
2050,train
2051,val
2052,val
2053,test
2054,val
2055,train
2056,train
2057,train
2058,train
2059,val
2060,test
2061,train
2062,train
2063,train
2064,test
2065,train
2066,train
2067,val
2068,train
2069,train
2070,train
2071,val
2072,test
2073,train
2074,test
2075,train
2076,test
2077,test
2078,train
2079,val
2080,train
2081,test
2082,val
2083,test
2084,train
2085,test
2086,train
2087,train
2088,train
2089,test
2090,train
2091,train
2092,test
2093,train
2094,train
2095,train
2096,train
2097,val
2098,train
2099,train
2100,val
2101,train
2102,train
2103,test
2104,train
2105,test
2106,train
2107,train
2108,train
2109,test
2110,val
2111,test
2112,train
2113,test
2114,train
2115,test
2116,train
2117,test
2118,test
2119,val
2120,val
2121,train
2122,train
2123,test
2124,train
2125,train
2126,train
2127,train
2128,val
2129,train
2130,val
2131,test
2132,val
2133,train
2134,train
2135,train
2136,train
2137,test
2138,train
2139,val
2140,train
2141,train
2142,train
2143,train
2144,train
2145,train
2146,test
2147,train
2148,train
2149,test
2150,test
2151,train
2152,train
2153,train
2154,train
2155,train
2156,train
2157,train
2158,train
2159,train
2160,train
2161,train
2162,train
2163,train
2164,train
2165,train
2166,train
2167,train
2168,train
2169,test
2170,train
2171,train
2172,test
2173,train
2174,train
2175,test
2176,train
2177,val
2178,train
2179,train
2180,test
2181,train
2182,train
2183,train
2184,val
2185,train
2186,train
2187,val
2188,train
2189,train
2190,train
2191,test
2192,test
2193,val
2194,train
2195,train
2196,test
2197,test
2198,test
2199,train
2200,test
2201,train
2202,val
2203,train
2204,train
2205,test
2206,train
2207,train
2208,train
2209,test
2210,val
2211,train
2212,train
2213,train
2214,test
2215,train
2216,train
2217,train
2218,train
2219,train
2220,train
2221,train
2222,val
2223,train
2224,val
2225,train
2226,test
2227,test
2228,train
2229,train
2230,val
2231,test
2232,test
2233,train
2234,val
2235,train
2236,test
2237,train
2238,train
2239,test
2240,train
2241,train
2242,val
2243,train
2244,test
2245,train
2246,test
2247,train
2248,test
2249,train
2250,train
2251,train
2252,train
2253,train
2254,train
2255,test
2256,train
2257,train
2258,train
2259,train
2260,val
2261,train
2262,train
2263,train
2264,train
2265,train
2266,val
2267,test
2268,val
2269,train
2270,test
2271,train
2272,train
2273,train
2274,train
2275,train
2276,train
2277,train
2278,test
2279,test
2280,train
2281,train
2282,train
2283,train
2284,val
2285,val
2286,val
2287,test
2288,train
2289,train
2290,train
2291,train
2292,val
2293,train
2294,test
2295,train
2296,test
2297,val
2298,train
2299,train
2300,test
2301,val
2302,train
2303,train
2304,train
2305,train
2306,val
2307,train
2308,val
2309,train
2310,test
2311,test
2312,val
2313,val
2314,test
2315,train
2316,train
2317,test
2318,train
2319,train
2320,test
2321,train
2322,train
2323,train
2324,train
2325,train
2326,train
2327,train
2328,train
2329,train
2330,train
2331,val
2332,test
2333,train
2334,train
2335,test
2336,val
2337,train
2338,train
2339,test
2340,train
2341,test
2342,val
2343,train
2344,test
2345,train
2346,train
2347,test
2348,test
2349,train
2350,test
2351,train
2352,train
2353,train
2354,train
2355,val
2356,test
2357,test
2358,test
2359,val
2360,train
2361,val
2362,train
2363,train
2364,train
2365,train
2366,train
2367,train
2368,test
2369,test
2370,test
2371,test
2372,val
2373,train
2374,val
2375,test
2376,train
2377,train
2378,train
2379,train
2380,train
2381,train
2382,train
2383,val
2384,test
2385,train
2386,val
2387,val
2388,train
2389,test
2390,val
2391,train
2392,train
2393,train
2394,val
2395,test
2396,train
2397,train
2398,train
2399,val
2400,train
2401,test
2402,train
2403,train
2404,test
2405,val
2406,train
2407,train
2408,test
2409,train
2410,test
2411,train
2412,train
2413,train
2414,test
2415,train
2416,val
2417,train
2418,train
2419,train
2420,test
2421,train
2422,val
2423,train
2424,train
2425,val
2426,train
2427,train
2428,train
2429,train
2430,test
2431,train
2432,train
2433,test
2434,train
2435,train
2436,test
2437,train
2438,train
2439,train
2440,test
2441,train
2442,train
2443,train
2444,train
2445,train
2446,train
2447,val
2448,test
2449,train
2450,train
2451,train
2452,train
2453,train
2454,val
2455,train
2456,train
2457,train
2458,train
2459,val
2460,train
2461,train
2462,train
2463,train
2464,val
2465,val
2466,test
2467,train
2468,train
2469,test
2470,train
2471,train
2472,train
2473,val
2474,test
2475,train
2476,val
2477,test
2478,train
2479,val
2480,train
2481,val
2482,train
2483,val
2484,train
2485,train
2486,train
2487,train
2488,val
2489,train
2490,train
2491,test
2492,train
2493,train
2494,train
2495,train
2496,train
2497,test
2498,train
2499,train
2500,test
2501,train
2502,val
2503,train
2504,test
2505,val
2506,train
2507,train
2508,train
2509,train
2510,train
2511,val
2512,train
2513,test
2514,train
2515,train
2516,val
2517,test
2518,val
2519,test
2520,val
2521,train
2522,train
2523,train
2524,val
2525,train
2526,train
2527,test
2528,train
2529,train
2530,test
2531,train
2532,test
2533,train
2534,train
2535,train
2536,test
2537,train
2538,train
2539,test
2540,train
2541,train
2542,train
2543,train
2544,train
2545,val
2546,train
2547,train
2548,test
2549,val
2550,train
2551,test
2552,train
2553,train
2554,train
2555,test
2556,test
2557,train
2558,train
2559,train
2560,train
2561,train
2562,train
2563,test
2564,train
2565,train
2566,train
2567,test
2568,val
2569,train
2570,train
2571,train
2572,val
2573,test
2574,train
2575,val
2576,train
2577,train
2578,val
2579,val
2580,train
2581,train
2582,train
2583,train
2584,train
2585,train
2586,val
2587,train
2588,train
2589,test
2590,train
2591,train
2592,train
2593,val
2594,test
2595,train
2596,val
2597,test
2598,test
2599,val
2600,test
2601,train
2602,test
2603,train
2604,test
2605,train
2606,val
2607,train
2608,test
2609,val
2610,train
2611,train
2612,train
2613,train
2614,test
2615,train
2616,val
2617,train
2618,test
2619,test
2620,train
2621,train
2622,test
2623,val
2624,test
2625,val
2626,train
2627,test
2628,train
2629,train
2630,train
2631,train
2632,val
2633,test
2634,train
2635,train
2636,train
2637,train
2638,train
2639,val
2640,train
2641,train
2642,train
2643,val
2644,val
2645,train
2646,train
2647,train
2648,train
2649,test
2650,train
2651,train
2652,test
2653,train
2654,train
2655,train
2656,test
2657,val
2658,test
2659,train
2660,train
2661,test
2662,train
2663,train
2664,test
2665,train
2666,val
2667,val
2668,train
2669,test
2670,train
2671,train
2672,train
2673,train
2674,train
2675,val
2676,val
2677,train
2678,test
2679,train
2680,train
2681,val
2682,test
2683,test
2684,val
2685,test
2686,test
2687,val
2688,test
2689,test
2690,train
2691,train
2692,val
2693,test
2694,test
2695,train
2696,train
2697,test
2698,train
2699,train
2700,train
2701,test
2702,test
2703,train
2704,val
2705,train
2706,train
2707,train
2708,train
2709,train
2710,test
2711,train
2712,train
2713,train
2714,train
2715,test
2716,train
2717,train
2718,train
2719,train
2720,train
2721,train
2722,train
2723,train
2724,train
2725,val
2726,train
2727,train
2728,train
2729,train
2730,val
2731,train
2732,train
2733,train
2734,val
2735,train
2736,train
2737,test
2738,test
2739,test
2740,test
2741,train
2742,train
2743,val
2744,train
2745,train
2746,val
2747,train
2748,train
2749,train
2750,test
2751,train
2752,test
2753,train
2754,train
2755,train
2756,train
2757,test
2758,train
2759,train
2760,train
2761,train
2762,test
2763,train
2764,val
2765,train
2766,train
2767,test
2768,train
2769,train
2770,train
2771,test
2772,train
2773,val
2774,train
2775,train
2776,train
2777,train
2778,test
2779,train
2780,test
2781,train
2782,train
2783,test
2784,val
2785,train
2786,train
2787,test
2788,train
2789,train
2790,val
2791,train
2792,train
2793,test
2794,train
2795,train
2796,val
2797,val
2798,train
2799,train
2800,val
2801,train
2802,test
2803,train
2804,train
2805,test
2806,train
2807,train
2808,val
2809,test
2810,test
2811,test
2812,train
2813,train
2814,test
2815,val
2816,train
2817,train
2818,test
2819,val
2820,test
2821,train
2822,test
2823,train
2824,train
2825,train
2826,train
2827,val
2828,train
2829,val
2830,train
2831,test
2832,val
2833,val
2834,train
2835,val
2836,test
2837,train
2838,test
2839,train
2840,val
2841,val
2842,train
2843,train
2844,val
2845,train
2846,train
2847,train
2848,test
2849,train
2850,train
2851,train
2852,train
2853,test
2854,test
2855,train
2856,val
2857,train
2858,val
2859,train
2860,train
2861,train
2862,train
2863,test
2864,train
2865,test
2866,train
2867,train
2868,val
2869,train
2870,test
2871,train
2872,test
2873,train
2874,train
2875,val
2876,train
2877,train
2878,train
2879,test
2880,train
2881,train
2882,train
2883,train
2884,val
2885,train
2886,train
2887,train
2888,train
2889,train
2890,test
2891,train
2892,test
2893,val
2894,test
2895,val
2896,test
2897,val
2898,train
2899,test
2900,train
2901,train
2902,test
2903,train
2904,test
2905,train
2906,train
2907,train
2908,train
2909,test
2910,test
2911,train
2912,train
2913,train
2914,test
2915,train
2916,test
2917,train
2918,train
2919,val
2920,train
2921,train
2922,train
2923,train
2924,train
2925,train
2926,val
2927,train
2928,val
2929,val
2930,train
2931,test
2932,train
2933,train
2934,test
2935,test
2936,train
2937,train
2938,test
2939,train
2940,train
2941,train
2942,train
2943,val
2944,test
2945,val
2946,train
2947,test
2948,train
2949,test
2950,train
2951,train
2952,train
2953,val
2954,train
2955,train
2956,val
2957,test
2958,train
2959,train
2960,val
2961,train
2962,train
2963,test
2964,train
2965,train
2966,train
2967,train
2968,train
2969,test
2970,train
2971,train
2972,test
2973,train
2974,train
2975,train
2976,train
2977,train
2978,train
2979,test
2980,test
2981,train
2982,train
2983,train
2984,val
2985,test
2986,train
2987,train
2988,test
2989,train
2990,train
2991,test
2992,test
2993,train
2994,train
2995,train
2996,train
2997,train
